2026-03-25 10:33:18 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:33:18 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:34:02 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:34:02 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:34:02 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:34:41 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: BaseModel.__init__() takes 1 positional argument but 2 were given
2026-03-25 10:35:27 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:35:27 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:35:27 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:35:27 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:35:28 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:35:28 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:35:28 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:35:28 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:35:29 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:35:30 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:36:01 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:36:01 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:39:19 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:39:19 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:39:19 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:40:52 | ERROR | app.main:global_exception_handler:109 | 未处理的异常: BaseModel.__init__() takes 1 positional argument but 2 were given
2026-03-25 10:42:21 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:42:21 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:42:21 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:42:21 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:42:22 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:42:22 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:42:22 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:42:22 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:42:22 | INFO | app.main:lifespan:41 | 运行环境: development
2026-03-25 10:42:22 | WARNING | app.main:lifespan:52 | MQTT客户端未连接
2026-03-25 10:46:00 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:46:00 | INFO | app.main:lifespan:57 | 正在关闭应用
2026-03-25 10:46:00 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:46:00 | INFO | app.main:lifespan:59 | 应用已关闭
2026-03-25 10:46:01 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:46:01 | INFO | app.main:lifespan:40 | 正在启动 智能渔场环境控制监测系统 v1.0.0
2026-03-25 10:46:01 | INFO | app.main:lifespan:41 | 运行环境: development
